loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1106                                              min=   69  p50=   69  p95=   74  avg=   69  max=   74  (us, n=20)
1107                                              min=   64  p50=   65  p95=   69  avg=   65  max=   69  (us, n=20)
1108                                              min=   66  p50=   66  p95=   72  avg=   66  max=   72  (us, n=20)
1110                                              min=   72  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1111                                              min=   69  p50=   69  p95=   97  avg=   71  max=   97  (us, n=20)
1112                                              min=   72  p50=   72  p95=  105  avg=   75  max=  105  (us, n=20)
1113                                              min=   66  p50=   67  p95=   74  avg=   67  max=   74  (us, n=20)
1114                                              min=   73  p50=   73  p95=  110  avg=   76  max=  110  (us, n=20)
1115                                              min=   66  p50=   66  p95=   67  avg=   66  max=   67  (us, n=20)
1116                                              min=   69  p50=   69  p95=   99  avg=   70  max=   99  (us, n=20)
1117                                              min=   73  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1118                                              min=   63  p50=   63  p95=   68  avg=   63  max=   68  (us, n=20)
1119                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
1120                                              min=   58  p50=   58  p95=   60  avg=   58  max=   60  (us, n=20)
1121                                              min=   73  p50=   74  p95=  102  avg=   78  max=  102  (us, n=20)
1122                                              min=   71  p50=   72  p95=   98  avg=   74  max=   98  (us, n=20)
1123                                              min=   54  p50=   54  p95=   55  avg=   54  max=   55  (us, n=20)
1124                                              min=   71  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1125                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1126                                              min=   70  p50=   72  p95=   75  avg=   71  max=   75  (us, n=20)
1127                                              min=   62  p50=   63  p95=   83  avg=   64  max=   83  (us, n=20)
1128                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1129                                              min=   73  p50=   73  p95=   73  avg=   73  max=   73  (us, n=20)
1130                                              min=   74  p50=   74  p95=   75  avg=   74  max=   75  (us, n=20)
1131                                              min=   65  p50=   66  p95=   71  avg=   66  max=   71  (us, n=20)
1132                                              min=   67  p50=   67  p95=   89  avg=   68  max=   89  (us, n=20)
1133                                              min=   65  p50=   66  p95=   91  avg=   67  max=   91  (us, n=20)
1134                                              min=   69  p50=   69  p95=  106  avg=   72  max=  106  (us, n=20)
1135                                              min=   67  p50=   68  p95=   79  avg=   68  max=   79  (us, n=20)
1136                                              min=   72  p50=   73  p95=  165  avg=   77  max=  165  (us, n=20)
1137                                              min=   74  p50=   74  p95=   84  avg=   75  max=   84  (us, n=20)
1138                                              min=   71  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1139                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1140                                              min=   72  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1141                                              min=   64  p50=   65  p95=   80  avg=   66  max=   80  (us, n=20)
1142                                              min=   72  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1143                                              min=   68  p50=   70  p95=  101  avg=   74  max=  101  (us, n=20)
1144                                              min=   58  p50=   59  p95=   59  avg=   58  max=   59  (us, n=20)
1145                                              min=   72  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
1146                                              min=   73  p50=   73  p95=   79  avg=   73  max=   79  (us, n=20)
1147                                              min=   73  p50=   73  p95=   73  avg=   73  max=   73  (us, n=20)
1148                                              min=   70  p50=   71  p95=  117  avg=   74  max=  117  (us, n=20)
1149                                              min=   71  p50=   71  p95=   88  avg=   74  max=   88  (us, n=20)
1150                                              min=   70  p50=   71  p95=  144  avg=   76  max=  144  (us, n=20)
1151                                              min=   68  p50=   69  p95=   86  avg=   71  max=   86  (us, n=20)
1152                                              min=   78  p50=   79  p95=  102  avg=   81  max=  102  (us, n=20)
1153                                              min=   66  p50=   67  p95=   69  avg=   67  max=   69  (us, n=20)
1154                                              min=   70  p50=   70  p95=   82  avg=   71  max=   82  (us, n=20)
1155                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1156                                              min=   57  p50=   57  p95=   61  avg=   57  max=   61  (us, n=20)
1157                                              min=   74  p50=   74  p95=   97  avg=   75  max=   97  (us, n=20)
1158                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1159                                              min=   66  p50=   68  p95=  181  avg=   81  max=  181  (us, n=20)
1160                                              min=   73  p50=   74  p95=  180  avg=   90  max=  180  (us, n=20)
1161                                              min=   73  p50=   74  p95=   78  avg=   74  max=   78  (us, n=20)
1162                                              min=   71  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1163                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1164                                              min=   73  p50=   74  p95=   79  avg=   74  max=   79  (us, n=20)
1165                                              min=   72  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
1166                                              min=   73  p50=   73  p95=   73  avg=   73  max=   73  (us, n=20)
1167                                              min=   73  p50=   73  p95=   75  avg=   73  max=   75  (us, n=20)
1168                                              min=   67  p50=   67  p95=   72  avg=   67  max=   72  (us, n=20)
1169                                              min=   73  p50=   73  p95=  101  avg=   77  max=  101  (us, n=20)
1170                                              min=   73  p50=   73  p95=  165  avg=   81  max=  165  (us, n=20)
1171                                              min=   67  p50=   67  p95=   68  avg=   67  max=   68  (us, n=20)
1172                                              min=   78  p50=   78  p95=  104  avg=   79  max=  104  (us, n=20)
1173                                              min=   74  p50=   74  p95=  115  avg=   80  max=  115  (us, n=20)
1174                                              min=   73  p50=   75  p95=  107  avg=   77  max=  107  (us, n=20)
1175                                              min=   67  p50=   68  p95=  168  avg=   80  max=  168  (us, n=20)
1176                                              min=   71  p50=   71  p95=   93  avg=   72  max=   93  (us, n=20)
1177                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1178                                              min=   65  p50=   65  p95=   71  avg=   65  max=   71  (us, n=20)
1179                                              min=   67  p50=   67  p95=   68  avg=   67  max=   68  (us, n=20)
1180                                              min=   71  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1181                                              min=   66  p50=   66  p95=   95  avg=   68  max=   95  (us, n=20)
1182                                              min=   67  p50=   68  p95=  104  avg=   71  max=  104  (us, n=20)
1183                                              min=   67  p50=   68  p95=   85  avg=   71  max=   85  (us, n=20)
1184                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1185                                              min=   63  p50=   64  p95=   68  avg=   64  max=   68  (us, n=20)
1186                                              min=   73  p50=   73  p95=   75  avg=   73  max=   75  (us, n=20)
