loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1203                                              min=   82  p50=   85  p95=  114  avg=   88  max=  114  (us, n=20)
1204                                              min=   61  p50=   62  p95=   66  avg=   62  max=   66  (us, n=20)
1205                                              min=   77  p50=   90  p95=  118  avg=   90  max=  118  (us, n=20)
1206                                              min=   75  p50=   75  p95=   85  avg=   75  max=   85  (us, n=20)
1207                                              min=   57  p50=   61  p95=   89  avg=   68  max=   89  (us, n=20)
1208                                              min=   75  p50=   76  p95=   83  avg=   76  max=   83  (us, n=20)
1209                                              min=   77  p50=   78  p95=  103  avg=   81  max=  103  (us, n=20)
1210                                              min=   74  p50=   74  p95=  110  avg=   77  max=  110  (us, n=20)
1211                                              min=   66  p50=   79  p95=  100  avg=   78  max=  100  (us, n=20)
1212                                              min=   69  p50=   85  p95=  100  avg=   84  max=  100  (us, n=20)
1213                                              min=   76  p50=   76  p95=   98  avg=   77  max=   98  (us, n=20)
1214                                              min=   77  p50=   78  p95=  104  avg=   82  max=  104  (us, n=20)
1215                                              min=   68  p50=   69  p95=   88  avg=   71  max=   88  (us, n=20)
1216                                              min=   71  p50=   71  p95=   83  avg=   72  max=   83  (us, n=20)
1217                                              min=   68  p50=   83  p95=  111  avg=   83  max=  111  (us, n=20)
1218                                              min=   72  p50=   72  p95=   86  avg=   72  max=   86  (us, n=20)
1219                                              min=   71  p50=   75  p95=  111  avg=   81  max=  111  (us, n=20)
1220                                              min=   76  p50=   77  p95=  111  avg=   86  max=  111  (us, n=20)
1221                                              min=   78  p50=   79  p95=  116  avg=   84  max=  116  (us, n=20)
1222                                              min=   74  p50=   75  p95=   82  avg=   75  max=   82  (us, n=20)
1223                                              min=   88  p50=  112  p95=  234  avg=  117  max=  234  (us, n=20)
1224                                              min=  117  p50=  119  p95=  126  avg=  119  max=  126  (us, n=20)
1225                                              min=  103  p50=  105  p95=  113  avg=  105  max=  113  (us, n=20)
1226                                              min=   78  p50=  118  p95=  129  avg=  114  max=  129  (us, n=20)
1227                                              min=  110  p50=  112  p95=  256  avg=  127  max=  256  (us, n=20)
1228                                              min=   94  p50=   97  p95=  108  avg=   98  max=  108  (us, n=20)
1229                                              min=  118  p50=  119  p95=  123  avg=  119  max=  123  (us, n=20)
1230                                              min=   77  p50=  110  p95=  160  avg=  104  max=  160  (us, n=20)
1231                                              min=  119  p50=  126  p95=  262  avg=  146  max=  262  (us, n=20)
1232                                              min=  105  p50=  115  p95=  357  avg=  130  max=  357  (us, n=20)
1233                                              min=   73  p50=   74  p95=  219  avg=   84  max=  219  (us, n=20)
1234                                              min=   73  p50=   73  p95=   89  avg=   74  max=   89  (us, n=20)
1235                                              min=   71  p50=   73  p95=  155  avg=   86  max=  155  (us, n=20)
1236                                              min=   80  p50=   84  p95=  221  avg=   95  max=  221  (us, n=20)
1237                                              min=   68  p50=   74  p95=  109  avg=   75  max=  109  (us, n=20)
1238                                              min=   73  p50=   85  p95=  110  avg=   84  max=  110  (us, n=20)
1239                                              min=   76  p50=   80  p95=  122  avg=   90  max=  122  (us, n=20)
1240                                              min=   71  p50=   74  p95=   92  avg=   75  max=   92  (us, n=20)
1241                                              min=   76  p50=   92  p95=  116  avg=   91  max=  116  (us, n=20)
1242                                              min=   74  p50=   76  p95=  636  avg=  111  max=  636  (us, n=20)
1243                                              min=   69  p50=   74  p95=  112  avg=   80  max=  112  (us, n=20)
1244                                              min=   75  p50=   76  p95=   92  avg=   77  max=   92  (us, n=20)
1245                                              min=   74  p50=   75  p95=  114  avg=   82  max=  114  (us, n=20)
1246                                              min=   73  p50=   74  p95=   89  avg=   75  max=   89  (us, n=20)
1247                                              min=   77  p50=   78  p95=  125  avg=   87  max=  125  (us, n=20)
1248                                              min=   81  p50=  103  p95=  155  avg=  103  max=  155  (us, n=20)
13226                                             min=  145  p50=  152  p95=  216  avg=  159  max=  216  (us, n=20)
13227                                             min=  146  p50=  163  p95=  375  avg=  185  max=  375  (us, n=20)
13228                                             min=  153  p50=  220  p95=  244  avg=  218  max=  244  (us, n=20)
13229                                             min=  146  p50=  225  p95=  270  avg=  215  max=  270  (us, n=20)
13230                                             min=  221  p50=  260  p95=  270  avg=  246  max=  270  (us, n=20)
13231                                             min=  148  p50=  167  p95=  328  avg=  188  max=  328  (us, n=20)
13232                                             min=  145  p50=  151  p95=  310  avg=  178  max=  310  (us, n=20)
13233                                             min=  145  p50=  149  p95=  233  avg=  162  max=  233  (us, n=20)
13234                                             min=  146  p50=  150  p95=  240  avg=  161  max=  240  (us, n=20)
13235                                             min=  145  p50=  147  p95=  196  avg=  150  max=  196  (us, n=20)
13236                                             min=  145  p50=  146  p95=  160  avg=  148  max=  160  (us, n=20)
13237                                             min=  145  p50=  149  p95=  184  avg=  156  max=  184  (us, n=20)
1356                                              min=   95  p50=   97  p95=  108  avg=   97  max=  108  (us, n=20)
1357                                              min=   99  p50=  101  p95=  109  avg=  101  max=  109  (us, n=20)
1358                                              min=   71  p50=   84  p95=  106  avg=   86  max=  106  (us, n=20)
1360                                              min=   67  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
14336                                             min=  144  p50=  150  p95=  231  avg=  158  max=  231  (us, n=20)
14337                                             min=  145  p50=  147  p95=  198  avg=  154  max=  198  (us, n=20)
14338                                             min=  145  p50=  146  p95=  172  avg=  150  max=  172  (us, n=20)
14339                                             min=  144  p50=  146  p95=  274  avg=  154  max=  274  (us, n=20)
14340                                             min=  150  p50=  157  p95=  267  avg=  174  max=  267  (us, n=20)
14341                                             min=  146  p50=  223  p95=  324  avg=  205  max=  324  (us, n=20)
14342                                             min=  145  p50=  174  p95=  312  avg=  179  max=  312  (us, n=20)
14343                                             min=  203  p50=  218  p95=  248  avg=  219  max=  248  (us, n=20)
14344                                             min=  146  p50=  187  p95=  279  avg=  193  max=  279  (us, n=20)
14345                                             min=  146  p50=  156  p95=  294  avg=  170  max=  294  (us, n=20)
149                                               min=  794  p50=  847  p95= 1125  avg=  881  max= 1125  (us, n=20)
150                                               min=  813  p50=  882  p95= 1127  avg=  903  max= 1127  (us, n=20)
15360                                             min=  144  p50=  148  p95=  229  avg=  161  max=  229  (us, n=20)
15361                                             min=  144  p50=  145  p95=  235  avg=  155  max=  235  (us, n=20)
15362                                             min=  144  p50=  146  p95=  193  avg=  153  max=  193  (us, n=20)
15363                                             min=  143  p50=  144  p95=  149  avg=  144  max=  149  (us, n=20)
15364                                             min=  144  p50=  172  p95=  267  avg=  194  max=  267  (us, n=20)
15365                                             min=  144  p50=  150  p95=  429  avg=  179  max=  429  (us, n=20)
