loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
2                                                 min= 1050  p50= 1347  p95= 1956  avg= 1368  max= 1956  (us, n=20)
20                                                min=35936  p50=40830  p95=47803  avg=40461  max=47803  (us, n=20)
202                                               min=  338  p50=  420  p95=  591  avg=  430  max=  591  (us, n=20)
203                                               min= 6446  p50= 7438  p95= 9611  avg= 7620  max= 9611  (us, n=20)
204                                               min= 4660  p50= 5489  p95= 6708  avg= 5483  max= 6708  (us, n=20)
205                                               min=  413  p50=  609  p95=  764  avg=  599  max=  764  (us, n=20)
206                                               min= 4840  p50= 5702  p95= 6872  avg= 5689  max= 6872  (us, n=20)
208                                               min= 4269  p50= 5041  p95= 5974  avg= 5062  max= 5974  (us, n=20)
21                                                min=  413  p50=  559  p95=  652  avg=  531  max=  652  (us, n=20)
211                                               min= 1767  p50= 2279  p95= 3883  avg= 2350  max= 3883  (us, n=20)
214                                               min=  365  p50=  567  p95=  716  avg=  569  max=  716  (us, n=20)
215                                               min= 5961  p50= 7319  p95= 8311  avg= 7280  max= 8311  (us, n=20)
216                                               min= 4810  p50= 5797  p95= 7506  avg= 5984  max= 7506  (us, n=20)
217                                               min=  410  p50=  579  p95=  857  avg=  579  max=  857  (us, n=20)
22                                                min= 4785  p50= 5546  p95= 6521  avg= 5554  max= 6521  (us, n=20)
220                                               min= 3993  p50= 4814  p95= 5936  avg= 4856  max= 5936  (us, n=20)
226                                               min=  349  p50=  633  p95=  677  avg=  568  max=  677  (us, n=20)
227                                               min= 5932  p50= 6895  p95= 8789  avg= 6991  max= 8789  (us, n=20)
228                                               min= 4804  p50= 5716  p95= 6549  avg= 5605  max= 6549  (us, n=20)
229                                               min=  403  p50=  451  p95=  680  avg=  480  max=  680  (us, n=20)
23                                                min=  933  p50= 1077  p95= 1780  avg= 1152  max= 1780  (us, n=20)
232                                               min= 4146  p50= 4831  p95= 7005  avg= 4996  max= 7005  (us, n=20)
238                                               min=  336  p50=  425  p95=  631  avg=  436  max=  631  (us, n=20)
239                                               min= 6110  p50= 7679  p95= 9283  avg= 7541  max= 9283  (us, n=20)
24                                                min= 4296  p50= 5032  p95= 6226  avg= 5158  max= 6226  (us, n=20)
240                                               min= 4725  p50= 5536  p95= 6999  avg= 5596  max= 6999  (us, n=20)
241                                               min=  426  p50=  662  p95= 1213  avg=  654  max= 1213  (us, n=20)
244                                               min= 4282  p50= 4829  p95= 7309  avg= 5135  max= 7309  (us, n=20)
25                                                min= 1785  p50= 2220  p95= 3111  avg= 2237  max= 3111  (us, n=20)
26                                                min= 1001  p50= 1226  p95= 1962  avg= 1295  max= 1962  (us, n=20)
262                                               min=  329  p50=  349  p95=  764  avg=  408  max=  764  (us, n=20)
269                                               min= 6149  p50= 7704  p95= 8804  avg= 7406  max= 8804  (us, n=20)
27                                                min= 1622  p50= 2002  p95= 2752  avg= 2124  max= 2752  (us, n=20)
270                                               min= 6271  p50= 8667  p95=10947  avg= 8637  max=10947  (us, n=20)
