loaded dump dir: .\src\Benchmark\RegressionCases\coverage  (803 samples)  iters=1

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
175                                               min= 2007  p50= 2007  p95= 2007  avg= 2007  max= 2007  (us, n=1)
1750                                              min=13815  p50=13815  p95=13815  avg=13815  max=13815  (us, n=1)
1751                                              min=13326  p50=13326  p95=13326  avg=13326  max=13326  (us, n=1)
178                                               min=  342  p50=  342  p95=  342  avg=  342  max=  342  (us, n=1)
179                                               min= 5346  p50= 5346  p95= 5346  avg= 5346  max= 5346  (us, n=1)
18                                                min=  163  p50=  163  p95=  163  avg=  163  max=  163  (us, n=1)
180                                               min= 4516  p50= 4516  p95= 4516  avg= 4516  max= 4516  (us, n=1)
181                                               min=  396  p50=  396  p95=  396  avg=  396  max=  396  (us, n=1)
182                                               min= 4563  p50= 4563  p95= 4563  avg= 4563  max= 4563  (us, n=1)
18362                                             min=  687  p50=  687  p95=  687  avg=  687  max=  687  (us, n=1)
18363                                             min= 8524  p50= 8524  p95= 8524  avg= 8524  max= 8524  (us, n=1)
18364                                             min= 1288  p50= 1288  p95= 1288  avg= 1288  max= 1288  (us, n=1)
18365                                             min=  661  p50=  661  p95=  661  avg=  661  max=  661  (us, n=1)
18366                                             min= 1510  p50= 1510  p95= 1510  avg= 1510  max= 1510  (us, n=1)
18367                                             min= 1885  p50= 1885  p95= 1885  avg= 1885  max= 1885  (us, n=1)
18386                                             min= 4170  p50= 4170  p95= 4170  avg= 4170  max= 4170  (us, n=1)
18387                                             min= 2302  p50= 2302  p95= 2302  avg= 2302  max= 2302  (us, n=1)
18392                                             min= 5057  p50= 5057  p95= 5057  avg= 5057  max= 5057  (us, n=1)
18393                                             min=  661  p50=  661  p95=  661  avg=  661  max=  661  (us, n=1)
184                                               min= 4148  p50= 4148  p95= 4148  avg= 4148  max= 4148  (us, n=1)
185                                               min= 1711  p50= 1711  p95= 1711  avg= 1711  max= 1711  (us, n=1)
187                                               min= 1573  p50= 1573  p95= 1573  avg= 1573  max= 1573  (us, n=1)
19                                                min= 1506  p50= 1506  p95= 1506  avg= 1506  max= 1506  (us, n=1)
190                                               min=  384  p50=  384  p95=  384  avg=  384  max=  384  (us, n=1)
191                                               min= 5109  p50= 5109  p95= 5109  avg= 5109  max= 5109  (us, n=1)
192                                               min= 4317  p50= 4317  p95= 4317  avg= 4317  max= 4317  (us, n=1)
193                                               min=  405  p50=  405  p95=  405  avg=  405  max=  405  (us, n=1)
194                                               min= 5117  p50= 5117  p95= 5117  avg= 5117  max= 5117  (us, n=1)
196                                               min= 3754  p50= 3754  p95= 3754  avg= 3754  max= 3754  (us, n=1)
19672                                             min= 1344  p50= 1344  p95= 1344  avg= 1344  max= 1344  (us, n=1)
197                                               min= 1834  p50= 1834  p95= 1834  avg= 1834  max= 1834  (us, n=1)
199                                               min= 1611  p50= 1611  p95= 1611  avg= 1611  max= 1611  (us, n=1)
2                                                 min=  970  p50=  970  p95=  970  avg=  970  max=  970  (us, n=1)
20                                                min=34826  p50=34826  p95=34826  avg=34826  max=34826  (us, n=1)
202                                               min=  440  p50=  440  p95=  440  avg=  440  max=  440  (us, n=1)
203                                               min= 5255  p50= 5255  p95= 5255  avg= 5255  max= 5255  (us, n=1)
204                                               min= 4233  p50= 4233  p95= 4233  avg= 4233  max= 4233  (us, n=1)
205                                               min=  414  p50=  414  p95=  414  avg=  414  max=  414  (us, n=1)
206                                               min= 4612  p50= 4612  p95= 4612  avg= 4612  max= 4612  (us, n=1)
208                                               min= 3767  p50= 3767  p95= 3767  avg= 3767  max= 3767  (us, n=1)
21                                                min=  433  p50=  433  p95=  433  avg=  433  max=  433  (us, n=1)
211                                               min= 1653  p50= 1653  p95= 1653  avg= 1653  max= 1653  (us, n=1)
214                                               min=  329  p50=  329  p95=  329  avg=  329  max=  329  (us, n=1)
215                                               min= 5267  p50= 5267  p95= 5267  avg= 5267  max= 5267  (us, n=1)
216                                               min= 4604  p50= 4604  p95= 4604  avg= 4604  max= 4604  (us, n=1)
217                                               min=  500  p50=  500  p95=  500  avg=  500  max=  500  (us, n=1)
22                                                min= 4592  p50= 4592  p95= 4592  avg= 4592  max= 4592  (us, n=1)
220                                               min= 3827  p50= 3827  p95= 3827  avg= 3827  max= 3827  (us, n=1)
226                                               min=  329  p50=  329  p95=  329  avg=  329  max=  329  (us, n=1)
227                                               min= 5219  p50= 5219  p95= 5219  avg= 5219  max= 5219  (us, n=1)
228                                               min= 4333  p50= 4333  p95= 4333  avg= 4333  max= 4333  (us, n=1)
229                                               min=  407  p50=  407  p95=  407  avg=  407  max=  407  (us, n=1)
23                                                min= 1025  p50= 1025  p95= 1025  avg= 1025  max= 1025  (us, n=1)
232                                               min= 3598  p50= 3598  p95= 3598  avg= 3598  max= 3598  (us, n=1)
238                                               min=  329  p50=  329  p95=  329  avg=  329  max=  329  (us, n=1)
239                                               min= 5217  p50= 5217  p95= 5217  avg= 5217  max= 5217  (us, n=1)
24                                                min= 3756  p50= 3756  p95= 3756  avg= 3756  max= 3756  (us, n=1)
240                                               min= 4317  p50= 4317  p95= 4317  avg= 4317  max= 4317  (us, n=1)
241                                               min=  397  p50=  397  p95=  397  avg=  397  max=  397  (us, n=1)
244                                               min= 3858  p50= 3858  p95= 3858  avg= 3858  max= 3858  (us, n=1)
25                                                min= 1724  p50= 1724  p95= 1724  avg= 1724  max= 1724  (us, n=1)
26                                                min=  967  p50=  967  p95=  967  avg=  967  max=  967  (us, n=1)
262                                               min=  320  p50=  320  p95=  320  avg=  320  max=  320  (us, n=1)
269                                               min= 6193  p50= 6193  p95= 6193  avg= 6193  max= 6193  (us, n=1)
27                                                min= 1577  p50= 1577  p95= 1577  avg= 1577  max= 1577  (us, n=1)
270                                               min= 6233  p50= 6233  p95= 6233  avg= 6233  max= 6233  (us, n=1)
271                                               min= 6576  p50= 6576  p95= 6576  avg= 6576  max= 6576  (us, n=1)
