loaded dump dir: ../../../src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1092                                              min=   73  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1094                                              min=   67  p50=   67  p95=   90  avg=   70  max=   90  (us, n=20)
1095                                              min=   69  p50=   69  p95=   69  avg=   69  max=   69  (us, n=20)
1096                                              min=   73  p50=   73  p95=   75  avg=   73  max=   75  (us, n=20)
1097                                              min=   67  p50=   67  p95=   69  avg=   67  max=   69  (us, n=20)
1098                                              min=   69  p50=   69  p95=   71  avg=   69  max=   71  (us, n=20)
1099                                              min=   69  p50=   69  p95=   71  avg=   69  max=   71  (us, n=20)
1100                                              min=   75  p50=   76  p95=  105  avg=   77  max=  105  (us, n=20)
1101                                              min=   64  p50=   65  p95=   69  avg=   65  max=   69  (us, n=20)
1102                                              min=   74  p50=   74  p95=   76  avg=   74  max=   76  (us, n=20)
1103                                              min=   65  p50=   65  p95=   68  avg=   65  max=   68  (us, n=20)
1104                                              min=   64  p50=   64  p95=   67  avg=   64  max=   67  (us, n=20)
1105                                              min=   65  p50=   65  p95=   70  avg=   65  max=   70  (us, n=20)
1106                                              min=   70  p50=   70  p95=   72  avg=   70  max=   72  (us, n=20)
1107                                              min=   64  p50=   64  p95=   69  avg=   64  max=   69  (us, n=20)
1108                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1110                                              min=   73  p50=   73  p95=   90  avg=   74  max=   90  (us, n=20)
1111                                              min=   69  p50=   69  p95=   85  avg=   70  max=   85  (us, n=20)
1112                                              min=   72  p50=   72  p95=   86  avg=   73  max=   86  (us, n=20)
1113                                              min=   67  p50=   67  p95=   70  avg=   67  max=   70  (us, n=20)
1114                                              min=   73  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1115                                              min=   66  p50=   66  p95=   97  avg=   67  max=   97  (us, n=20)
1116                                              min=   69  p50=   69  p95=   72  avg=   69  max=   72  (us, n=20)
1117                                              min=   74  p50=   74  p95=   76  avg=   74  max=   76  (us, n=20)
1118                                              min=   63  p50=   64  p95=   66  avg=   63  max=   66  (us, n=20)
1119                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
1120                                              min=   58  p50=   59  p95=   59  avg=   58  max=   59  (us, n=20)
1121                                              min=   74  p50=   74  p95=   75  avg=   74  max=   75  (us, n=20)
1122                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1123                                              min=   55  p50=   55  p95=   55  avg=   55  max=   55  (us, n=20)
1124                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1125                                              min=   74  p50=   75  p95=  105  avg=   77  max=  105  (us, n=20)
1126                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1127                                              min=   63  p50=   63  p95=   66  avg=   63  max=   66  (us, n=20)
1128                                              min=   67  p50=   67  p95=   69  avg=   67  max=   69  (us, n=20)
1129                                              min=   73  p50=   74  p95=   77  avg=   73  max=   77  (us, n=20)
1130                                              min=   74  p50=   74  p95=   76  avg=   74  max=   76  (us, n=20)
1131                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1132                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1133                                              min=   66  p50=   66  p95=   68  avg=   66  max=   68  (us, n=20)
1134                                              min=   69  p50=   69  p95=   72  avg=   69  max=   72  (us, n=20)
1135                                              min=   68  p50=   68  p95=   69  avg=   68  max=   69  (us, n=20)
1136                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1137                                              min=   75  p50=   75  p95=   77  avg=   75  max=   77  (us, n=20)
1138                                              min=   71  p50=   72  p95=   74  avg=   71  max=   74  (us, n=20)
1139                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1140                                              min=   73  p50=   75  p95=   95  avg=   76  max=   95  (us, n=20)
1141                                              min=   64  p50=   64  p95=   66  avg=   64  max=   66  (us, n=20)
1142                                              min=   72  p50=   72  p95=   79  avg=   73  max=   79  (us, n=20)
1143                                              min=   68  p50=   71  p95=   78  avg=   71  max=   78  (us, n=20)
1144                                              min=   58  p50=   59  p95=   63  avg=   59  max=   63  (us, n=20)
1145                                              min=   72  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
