loaded dump dir: ../../../src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1734                                              min=  144  p50=  145  p95=  148  avg=  145  max=  148  (us, n=20)
1735                                              min=  143  p50=  144  p95=  149  avg=  144  max=  149  (us, n=20)
1736                                              min=  143  p50=  144  p95=  146  avg=  144  max=  146  (us, n=20)
1737                                              min=  144  p50=  145  p95=  271  avg=  167  max=  271  (us, n=20)
1738                                              min=  144  p50=  145  p95=  149  avg=  145  max=  149  (us, n=20)
1739                                              min=  144  p50=  145  p95=  148  avg=  145  max=  148  (us, n=20)
1740                                              min=  143  p50=  144  p95=  169  avg=  145  max=  169  (us, n=20)
1741                                              min=  144  p50=  145  p95=  149  avg=  145  max=  149  (us, n=20)
1742                                              min=  144  p50=  145  p95=  151  avg=  145  max=  151  (us, n=20)
1743                                              min=  144  p50=  145  p95=  180  avg=  147  max=  180  (us, n=20)
1746                                              min=12595  p50=13764  p95=14994  avg=13729  max=14994  (us, n=20)
1747                                              min=12616  p50=15128  p95=19765  avg=15448  max=19765  (us, n=20)
1748                                              min=11992  p50=13275  p95=16822  avg=13710  max=16822  (us, n=20)
1749                                              min=11808  p50=14423  p95=19476  avg=14597  max=19476  (us, n=20)
175                                               min= 1615  p50= 1632  p95= 1655  avg= 1632  max= 1655  (us, n=20)
1750                                              min=12428  p50=13531  p95=19233  avg=14942  max=19233  (us, n=20)
1751                                              min=12181  p50=12917  p95=18506  avg=14048  max=18506  (us, n=20)
178                                               min=  338  p50=  348  p95=  609  avg=  381  max=  609  (us, n=20)
179                                               min= 5474  p50= 5669  p95= 6629  avg= 5802  max= 6629  (us, n=20)
18                                                min=  160  p50=  161  p95=  192  avg=  164  max=  192  (us, n=20)
180                                               min= 4354  p50= 4476  p95= 5166  avg= 4525  max= 5166  (us, n=20)
181                                               min=  399  p50=  454  p95=  601  avg=  458  max=  601  (us, n=20)
182                                               min= 4753  p50= 6445  p95= 7641  avg= 6209  max= 7641  (us, n=20)
18362                                             min=  681  p50=  714  p95=  864  avg=  729  max=  864  (us, n=20)
18363                                             min= 7205  p50= 7548  p95= 8452  avg= 7559  max= 8452  (us, n=20)
18364                                             min=  957  p50=  962  p95= 1147  avg=  976  max= 1147  (us, n=20)
18365                                             min=  668  p50=  670  p95=  689  avg=  671  max=  689  (us, n=20)
18366                                             min= 1526  p50= 1532  p95= 1583  avg= 1535  max= 1583  (us, n=20)
18367                                             min= 1797  p50= 1812  p95= 2065  avg= 1842  max= 2065  (us, n=20)
18386                                             min= 4043  p50= 4104  p95= 4314  avg= 4128  max= 4314  (us, n=20)
18387                                             min= 2309  p50= 2348  p95= 2486  avg= 2368  max= 2486  (us, n=20)
18392                                             min= 4996  p50= 5087  p95= 5272  avg= 5094  max= 5272  (us, n=20)
18393                                             min=  668  p50=  669  p95=  701  avg=  672  max=  701  (us, n=20)
184                                               min= 3600  p50= 3694  p95= 3917  avg= 3724  max= 3917  (us, n=20)
185                                               min= 1703  p50= 1736  p95= 2190  avg= 1801  max= 2190  (us, n=20)
187                                               min= 1569  p50= 1589  p95= 2166  avg= 1621  max= 2166  (us, n=20)
19                                                min=  929  p50=  938  p95= 1163  avg=  967  max= 1163  (us, n=20)
190                                               min=  323  p50=  325  p95=  382  avg=  328  max=  382  (us, n=20)
191                                               min= 5193  p50= 5348  p95= 6111  avg= 5383  max= 6111  (us, n=20)
192                                               min= 4150  p50= 4188  p95= 4374  avg= 4202  max= 4374  (us, n=20)
193                                               min=  389  p50=  401  p95=  407  avg=  398  max=  407  (us, n=20)
194                                               min= 4281  p50= 4511  p95= 5764  avg= 4589  max= 5764  (us, n=20)
196                                               min= 3626  p50= 3696  p95= 3994  avg= 3742  max= 3994  (us, n=20)
19672                                             min= 1292  p50= 1318  p95= 1375  avg= 1318  max= 1375  (us, n=20)
197                                               min= 1702  p50= 1733  p95= 2284  avg= 1789  max= 2284  (us, n=20)
199                                               min= 1569  p50= 1594  p95= 1678  avg= 1604  max= 1678  (us, n=20)
2                                                 min=  959  p50=  969  p95= 1053  avg=  975  max= 1053  (us, n=20)
20                                                min=31617  p50=32204  p95=33078  avg=32243  max=33078  (us, n=20)
202                                               min=  317  p50=  322  p95=  344  avg=  324  max=  344  (us, n=20)
203                                               min= 5144  p50= 5351  p95= 6292  avg= 5506  max= 6292  (us, n=20)
204                                               min= 4189  p50= 4252  p95= 4408  avg= 4270  max= 4408  (us, n=20)
205                                               min=  385  p50=  387  p95=  491  avg=  402  max=  491  (us, n=20)
206                                               min= 4274  p50= 4531  p95= 5420  avg= 4595  max= 5420  (us, n=20)
208                                               min= 3707  p50= 3821  p95= 4079  avg= 3841  max= 4079  (us, n=20)
21                                                min=  389  p50=  391  p95=  454  avg=  400  max=  454  (us, n=20)
211                                               min= 1590  p50= 1619  p95= 1769  avg= 1633  max= 1769  (us, n=20)
214                                               min=  323  p50=  325  p95=  340  avg=  327  max=  340  (us, n=20)
215                                               min= 5169  p50= 5372  p95= 6296  avg= 5501  max= 6296  (us, n=20)
216                                               min= 4194  p50= 4249  p95= 4407  avg= 4261  max= 4407  (us, n=20)
217                                               min=  389  p50=  393  p95=  430  avg=  395  max=  430  (us, n=20)
22                                                min= 4330  p50= 4538  p95= 5573  avg= 4606  max= 5573  (us, n=20)
220                                               min= 3683  p50= 3781  p95= 4092  avg= 3821  max= 4092  (us, n=20)
226                                               min=  321  p50=  324  p95=  574  avg=  356  max=  574  (us, n=20)
227                                               min= 5239  p50= 5621  p95= 6619  avg= 5719  max= 6619  (us, n=20)
228                                               min= 4231  p50= 4328  p95= 4474  avg= 4334  max= 4474  (us, n=20)
229                                               min=  391  p50=  391  p95=  401  avg=  393  max=  401  (us, n=20)
23                                                min=  886  p50=  898  p95= 1002  avg=  917  max= 1002  (us, n=20)
232                                               min= 3624  p50= 3852  p95= 4205  avg= 3831  max= 4205  (us, n=20)
238                                               min=  320  p50=  322  p95=  485  avg=  330  max=  485  (us, n=20)
239                                               min= 5256  p50= 5522  p95= 6729  avg= 5658  max= 6729  (us, n=20)
24                                                min= 3623  p50= 3754  p95= 3975  avg= 3768  max= 3975  (us, n=20)
240                                               min= 4186  p50= 4234  p95= 4366  avg= 4239  max= 4366  (us, n=20)
241                                               min=  391  p50=  392  p95=  398  avg=  392  max=  398  (us, n=20)
244                                               min= 3607  p50= 3692  p95= 4160  avg= 3724  max= 4160  (us, n=20)
25                                                min= 1700  p50= 1765  p95= 2618  avg= 1857  max= 2618  (us, n=20)
26                                                min=  949  p50=  968  p95= 1209  avg= 1017  max= 1209  (us, n=20)
262                                               min=  319  p50=  329  p95=  540  avg=  349  max=  540  (us, n=20)
269                                               min= 5655  p50= 6133  p95= 8892  avg= 6356  max= 8892  (us, n=20)
27                                                min= 1583  p50= 1684  p95= 2049  avg= 1706  max= 2049  (us, n=20)
270                                               min= 5583  p50= 5989  p95= 8177  avg= 6045  max= 8177  (us, n=20)
271                                               min= 5652  p50= 5945  p95= 7195  avg= 6027  max= 7195  (us, n=20)
272                                               min= 1304  p50= 1317  p95= 1357  avg= 1318  max= 1357  (us, n=20)
273                                               min= 1345  p50= 1384  p95= 2164  avg= 1436  max= 2164  (us, n=20)
274                                               min= 5596  p50= 5968  p95= 6969  avg= 6022  max= 6969  (us, n=20)
275                                               min= 5603  p50= 5916  p95= 6279  avg= 5901  max= 6279  (us, n=20)
276                                               min= 5627  p50= 5945  p95= 6246  avg= 5906  max= 6246  (us, n=20)
278                                               min= 2555  p50= 2710  p95= 2851  avg= 2711  max= 2851  (us, n=20)
27877                                             min=  634  p50=  640  p95=  887  avg=  673  max=  887  (us, n=20)
27878                                             min= 7210  p50= 7620  p95= 9244  avg= 7657  max= 9244  (us, n=20)
27879                                             min=  926  p50=  977  p95= 1197  avg= 1015  max= 1197  (us, n=20)
27880                                             min=  651  p50=  671  p95=  785  avg=  690  max=  785  (us, n=20)
27881                                             min= 1501  p50= 1601  p95= 1757  avg= 1584  max= 1757  (us, n=20)
27882                                             min= 1769  p50= 1847  p95= 2147  avg= 1895  max= 2147  (us, n=20)
27901                                             min= 4179  p50= 4421  p95= 4734  avg= 4430  max= 4734  (us, n=20)
27902                                             min= 2294  p50= 2451  p95= 3374  avg= 2524  max= 3374  (us, n=20)
27907                                             min= 5051  p50= 5415  p95= 5678  avg= 5369  max= 5678  (us, n=20)
28                                                min=  761  p50=  776  p95= 1153  avg=  832  max= 1153  (us, n=20)
282                                               min=30821  p50=31378  p95=34148  avg=31762  max=34148  (us, n=20)
283                                               min=30930  p50=31778  p95=37698  avg=32029  max=37698  (us, n=20)
284                                               min=30821  p50=31557  p95=33047  avg=31623  max=33047  (us, n=20)
285                                               min=31208  p50=31840  p95=35788  avg=32211  max=35788  (us, n=20)
2854                                              min=11881  p50=12701  p95=13625  avg=12645  max=13625  (us, n=20)
2855                                              min=12045  p50=12764  p95=13280  avg=12673  max=13280  (us, n=20)
2856                                              min=11886  p50=12475  p95=14851  avg=12554  max=14851  (us, n=20)
2857                                              min=12190  p50=13085  p95=17200  avg=13263  max=17200  (us, n=20)
2858                                              min=11961  p50=12549  p95=13730  avg=12573  max=13730  (us, n=20)
2859                                              min=11995  p50=12422  p95=13781  avg=12541  max=13781  (us, n=20)
